Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,PA,READM-30-HIP-KNEE-HRRP,1458,,1.4543,7.5,5.2,116,07/01/2010,06/30/2013
HOUSTON MEDICAL CENTER,110069,GA,READM-30-HIP-KNEE-HRRP,238,,1.4532,8.1,5.5,26,07/01/2010,06/30/2013
UNIVERSITY OF TEXAS MEDICAL BRANCH GAL,450018,TX,READM-30-HIP-KNEE-HRRP,154,,1.4528,7.9,5.4,19,07/01/2010,06/30/2013
VALLEY VIEW MEDICAL CENTER,030117,AZ,READM-30-HIP-KNEE-HRRP,117,,1.4486,7.2,4.9,15,07/01/2010,06/30/2013
REGIONAL HOSPITAL OF JACKSON,440189,TN,READM-30-HIP-KNEE-HRRP,322,,1.4348,7.6,5.3,31,07/01/2010,06/30/2013
METROPLEX HOSPITAL,450152,TX,READM-30-HIP-KNEE-HRRP,98,,1.4333,7.6,5.3,14,07/01/2010,06/30/2013
HENDRICK MEDICAL CENTER,450229,TX,READM-30-HIP-KNEE-HRRP,493,,1.4321,7.6,5.3,44,07/01/2010,06/30/2013
UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT,060024,CO,READM-30-HIP-KNEE-HRRP,332,,1.4317,7.4,5.1,31,07/01/2010,06/30/2013
ST CATHERINE OF SIENA HOSPITAL,330401,NY,READM-30-HIP-KNEE-HRRP,136,,1.4200,7.8,5.5,17,07/01/2010,06/30/2013
LITTLE COMPANY OF MARY HOSPITAL,140179,IL,READM-30-HIP-KNEE-HRRP,179,,1.4133,8.2,5.8,21,07/01/2010,06/30/2013
"SAINT MICHAEL'S MEDICAL CENTER, INC",310096,NJ,READM-30-HIP-KNEE-HRRP,97,,1.4088,9.9,7.0,16,07/01/2010,06/30/2013
CHRISTUS ST MICHAEL HEALTH SYSTEM,450801,TX,READM-30-HIP-KNEE-HRRP,536,,1.4033,7.6,5.4,47,07/01/2010,06/30/2013
JOHNSTON MEMORIAL HOSPITAL,490053,VA,READM-30-HIP-KNEE-HRRP,268,,1.4031,7.4,5.3,26,07/01/2010,06/30/2013
NORTHWESTERN MEMORIAL HOSPITAL,140281,IL,READM-30-HIP-KNEE-HRRP,1658,,1.4026,6.8,4.9,119,07/01/2010,06/30/2013
JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,370022,OK,READM-30-HIP-KNEE-HRRP,260,,1.4022,7.3,5.2,25,07/01/2010,06/30/2013
RALEIGH GENERAL HOSPITAL,510070,WV,READM-30-HIP-KNEE-HRRP,57,,1.3992,8.5,6.1,11,07/01/2010,06/30/2013
PAYSON REGIONAL MEDICAL CENTER,030033,AZ,READM-30-HIP-KNEE-HRRP,118,,1.3968,6.8,4.9,14,07/01/2010,06/30/2013
SOUTHWEST MS REGIONAL MEDICAL CENTER,250097,MS,READM-30-HIP-KNEE-HRRP,76,,1.3966,8.9,6.3,13,07/01/2010,06/30/2013
ADVENTIST LA GRANGE MEMORIAL HOSPITAL,140065,IL,READM-30-HIP-KNEE-HRRP,354,,1.3947,8.2,5.9,35,07/01/2010,06/30/2013
ENLOE MEDICAL CENTER,050039,CA,READM-30-HIP-KNEE-HRRP,464,,1.3923,6.7,4.8,37,07/01/2010,06/30/2013
SOUTHSIDE REGIONAL MEDICAL CENTER,490067,VA,READM-30-HIP-KNEE-HRRP,169,,1.3909,7.7,5.5,19,07/01/2010,06/30/2013
HARLAN ARH HOSPITAL,180050,KY,READM-30-HF-HRRP,281,,1.3892,32.8,23.6,113,07/01/2010,06/30/2013
GRANT MEDICAL CENTER,360017,OH,READM-30-HIP-KNEE-HRRP,462,,1.3887,7.4,5.3,40,07/01/2010,06/30/2013
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-HIP-KNEE-HRRP,331,,1.3853,7.6,5.5,31,07/01/2010,06/30/2013
SINAI HOSPITAL OF BALTIMORE,210012,MD,READM-30-HIP-KNEE-HRRP,676,,1.3803,8.0,5.8,60,07/01/2010,06/30/2013
UNIVERSITY HOSPITAL ( STONY BROOK ),330393,NY,READM-30-HIP-KNEE-HRRP,326,,1.3801,7.7,5.6,31,07/01/2010,06/30/2013
PROVIDENCE HOSPITAL AND MEDICAL CENTERS,230019,MI,READM-30-HIP-KNEE-HRRP,956,,1.3784,8.3,6.0,85,07/01/2010,06/30/2013
BAYSHORE COMMUNITY HOSPITAL,310112,NJ,READM-30-HIP-KNEE-HRRP,87,,1.3755,10.3,7.5,15,07/01/2010,06/30/2013
PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,390226,PA,READM-30-HIP-KNEE-HRRP,921,,1.3746,7.6,5.5,76,07/01/2010,06/30/2013
DAVIS MEMORIAL HOSPITAL,510030,WV,READM-30-HIP-KNEE-HRRP,133,,1.3746,7.6,5.6,16,07/01/2010,06/30/2013
MONTEFIORE NEW ROCHELLE HOSPITAL,330184,NY,READM-30-HIP-KNEE-HRRP,231,,1.3726,8.7,6.4,26,07/01/2010,06/30/2013
SSM ST JOSEPH HOSPITAL WEST,260200,MO,READM-30-HIP-KNEE-HRRP,170,,1.3725,8.3,6.0,20,07/01/2010,06/30/2013
HALLMARK HEALTH SYSTEM,220070,MA,READM-30-HIP-KNEE-HRRP,210,,1.3683,7.3,5.3,21,07/01/2010,06/30/2013
HACKENSACK-UMC MOUNTAINSIDE,310054,NJ,READM-30-HIP-KNEE-HRRP,212,,1.3603,9.1,6.7,25,07/01/2010,06/30/2013
UNIVERSITY MEDICAL CENTER,450686,TX,READM-30-HIP-KNEE-HRRP,265,,1.3600,7.0,5.1,24,07/01/2010,06/30/2013
ABINGTON MEMORIAL HOSPITAL,390231,PA,READM-30-HIP-KNEE-HRRP,731,,1.3565,7.2,5.3,58,07/01/2010,06/30/2013
PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO,140224,IL,READM-30-HIP-KNEE-HRRP,156,,1.3545,7.9,5.9,18,07/01/2010,06/30/2013
AKRON GENERAL MEDICAL CENTER,360027,OH,READM-30-HIP-KNEE-HRRP,291,,1.3534,7.7,5.7,28,07/01/2010,06/30/2013
WHITE COUNTY MEDICAL CENTER,040014,AR,READM-30-HIP-KNEE-HRRP,201,,1.3524,7.2,5.3,20,07/01/2010,06/30/2013
BETH ISRAEL DEACONESS HOSPITAL-MILTON INC,220108,MA,READM-30-HIP-KNEE-HRRP,176,,1.3471,7.2,5.3,18,07/01/2010,06/30/2013
MONROE COUNTY MEDICAL CENTER,180105,KY,READM-30-COPD-HRRP,287,,1.3462,25.3,18.8,95,07/01/2010,06/30/2013
ST MARY'S HEALTH CENTER,260011,MO,READM-30-HIP-KNEE-HRRP,319,,1.3429,6.8,5.1,27,07/01/2010,06/30/2013
TRUMBULL MEMORIAL HOSPITAL,360055,OH,READM-30-HIP-KNEE-HRRP,137,,1.3368,7.8,5.9,16,07/01/2010,06/30/2013
CENTRASTATE MEDICAL CENTER,310111,NJ,READM-30-HIP-KNEE-HRRP,284,,1.3351,7.3,5.5,26,07/01/2010,06/30/2013
ST JOSEPH'S HOSPITAL,100075,FL,READM-30-HIP-KNEE-HRRP,349,,1.3338,7.4,5.5,31,07/01/2010,06/30/2013
WOODLAND HEIGHTS MEDICAL CENTER,450484,TX,READM-30-HIP-KNEE-HRRP,320,,1.3317,7.1,5.4,28,07/01/2010,06/30/2013
COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,150113,IN,READM-30-HIP-KNEE-HRRP,231,,1.3314,8.1,6.1,24,07/01/2010,06/30/2013
LIBERTY HOSPITAL,260177,MO,READM-30-HIP-KNEE-HRRP,492,,1.3301,6.5,4.9,37,07/01/2010,06/30/2013
DOCTORS HOSPITAL AT DEER CREEK LLC,190297,LA,READM-30-HIP-KNEE-HRRP,Not Available,,1.3287,6.2,4.7,,07/01/2010,06/30/2013
DOCTORS'  COMMUNITY HOSPITAL,210051,MD,READM-30-HIP-KNEE-HRRP,170,,1.3283,7.6,5.7,18,07/01/2010,06/30/2013
MEDICAL COLLEGE OF VIRGINIA HOSPITALS,490032,VA,READM-30-HIP-KNEE-HRRP,318,,1.3265,6.9,5.2,27,07/01/2010,06/30/2013
PRESENCE SAINT JOSEPH MEDICAL CENTER,140007,IL,READM-30-HIP-KNEE-HRRP,650,,1.3265,7.2,5.4,52,07/01/2010,06/30/2013
CALVERT MEMORIAL HOSPITAL,210039,MD,READM-30-HIP-KNEE-HRRP,149,,1.3263,7.3,5.5,16,07/01/2010,06/30/2013
UNIVERSITY OF MD SHORE MEDICAL CTR AT CHESTERTOWN,210030,MD,READM-30-HIP-KNEE-HRRP,77,,1.3254,7.5,5.7,11,07/01/2010,06/30/2013
ST MARYS HOSPITAL,520083,WI,READM-30-HIP-KNEE-HRRP,644,,1.3202,6.2,4.7,45,07/01/2010,06/30/2013
SOUTH BALDWIN REGIONAL MEDICAL CENTER,010083,AL,READM-30-HIP-KNEE-HRRP,115,,1.3184,7.8,5.9,14,07/01/2010,06/30/2013
BANNER ESTRELLA MEDICAL CENTER,030115,AZ,READM-30-HIP-KNEE-HRRP,111,,1.3177,6.4,4.8,12,07/01/2010,06/30/2013
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,040114,AR,READM-30-HIP-KNEE-HRRP,669,,1.3177,6.3,4.8,47,07/01/2010,06/30/2013
NATIONAL PARK MEDICAL CENTER,040078,AR,READM-30-HIP-KNEE-HRRP,166,,1.3172,7.2,5.5,17,07/01/2010,06/30/2013
MARTHA JEFFERSON HOSPITAL,490077,VA,READM-30-HIP-KNEE-HRRP,618,,1.3171,6.0,4.6,42,07/01/2010,06/30/2013
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),330350,NY,READM-30-HF-HRRP,622,,1.3170,30.4,23.0,206,07/01/2010,06/30/2013
PALISADES MEDICAL CENTER,310003,NJ,READM-30-HF-HRRP,553,,1.3150,31.2,23.8,190,07/01/2010,06/30/2013
LOUIS A WEISS MEMORIAL HOSPITAL,140082,IL,READM-30-HIP-KNEE-HRRP,277,,1.3149,7.6,5.8,26,07/01/2010,06/30/2013
SKIFF MEDICAL CENTER,160032,IA,READM-30-HIP-KNEE-HRRP,170,,1.3132,6.0,4.5,15,07/01/2010,06/30/2013
MARYMOUNT HOSPITAL,360143,OH,READM-30-HIP-KNEE-HRRP,225,,1.3120,8.0,6.1,23,07/01/2010,06/30/2013
ROCKDALE MEDICAL CENTER,110091,GA,READM-30-HIP-KNEE-HRRP,116,,1.3115,7.0,5.3,13,07/01/2010,06/30/2013
MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION,440030,TN,READM-30-HIP-KNEE-HRRP,194,,1.3104,6.8,5.2,18,07/01/2010,06/30/2013
SINAI-GRACE HOSPITAL,230024,MI,READM-30-HIP-KNEE-HRRP,142,,1.3099,9.7,7.4,19,07/01/2010,06/30/2013
COMANCHE COUNTY MEMORIAL HOSPITAL,370056,OK,READM-30-HIP-KNEE-HRRP,199,,1.3058,7.1,5.4,19,07/01/2010,06/30/2013
ST VINCENT'S MEDICAL CENTER SOUTHSIDE,100307,FL,READM-30-HIP-KNEE-HRRP,767,,1.3038,6.8,5.2,57,07/01/2010,06/30/2013
WHITE RIVER MEDICAL CENTER,040119,AR,READM-30-HIP-KNEE-HRRP,327,,1.3020,6.8,5.2,27,07/01/2010,06/30/2013
EDEN MEDICAL CENTER,050488,CA,READM-30-HIP-KNEE-HRRP,184,,1.3012,6.7,5.1,17,07/01/2010,06/30/2013
SAINT LUKE'S EAST LEE'S SUMMIT HOSPITAL,260216,MO,READM-30-HIP-KNEE-HRRP,269,,1.3008,6.8,5.2,23,07/01/2010,06/30/2013
MEDSTAR HARBOR HOSPITAL,210034,MD,READM-30-HIP-KNEE-HRRP,209,,1.2999,7.3,5.6,20,07/01/2010,06/30/2013
"MERCY HOSPITAL ARDMORE, INC",370047,OK,READM-30-HIP-KNEE-HRRP,432,,1.2987,7.0,5.4,35,07/01/2010,06/30/2013
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,290054,NV,READM-30-HIP-KNEE-HRRP,469,,1.2971,6.3,4.8,34,07/01/2010,06/30/2013
PENN PRESBYTERIAN MEDICAL CENTER,390223,PA,READM-30-HIP-KNEE-HRRP,373,,1.2963,7.3,5.6,32,07/01/2010,06/30/2013
NEWARK BETH ISRAEL MEDICAL CENTER,310002,NJ,READM-30-HIP-KNEE-HRRP,125,,1.2949,7.5,5.8,14,07/01/2010,06/30/2013
PARK RIDGE HEALTH,340023,NC,READM-30-HIP-KNEE-HRRP,Not Available,,1.2941,5.7,4.4,,07/01/2010,06/30/2013
CHESTER COUNTY HOSPITAL,390179,PA,READM-30-HIP-KNEE-HRRP,320,,1.2939,7.0,5.4,27,07/01/2010,06/30/2013
MEADOWS REGIONAL MEDICAL CENTER,110128,GA,READM-30-HIP-KNEE-HRRP,Not Available,,1.2915,6.1,4.7,,07/01/2010,06/30/2013
SAINT JOSEPH EAST,180143,KY,READM-30-HIP-KNEE-HRRP,368,,1.2909,6.9,5.3,30,07/01/2010,06/30/2013
MINDEN MEDICAL CENTER,190144,LA,READM-30-HIP-KNEE-HRRP,139,,1.2871,6.8,5.3,14,07/01/2010,06/30/2013
HALIFAX REGIONAL MEDICAL CENTER INC,340151,NC,READM-30-HIP-KNEE-HRRP,374,,1.2865,6.3,4.9,28,07/01/2010,06/30/2013
AURORA ST LUKES MEDICAL CENTER,520138,WI,READM-30-HIP-KNEE-HRRP,828,,1.2863,7.3,5.7,65,07/01/2010,06/30/2013
WELLMONT HOLSTON VALLEY MEDICAL CENTER,440017,TN,READM-30-HIP-KNEE-HRRP,363,,1.2858,6.2,4.8,27,07/01/2010,06/30/2013
BLESSING HOSPITAL,140015,IL,READM-30-HIP-KNEE-HRRP,172,,1.2854,7.8,6.1,18,07/01/2010,06/30/2013
ARIZONA ORTHOPEDIC AND SURGICAL SPECIALITY HOSP,030112,AZ,READM-30-HIP-KNEE-HRRP,443,,1.2848,5.5,4.3,29,07/01/2010,06/30/2013
SEBASTIAN RIVER MEDICAL CENTER,100217,FL,READM-30-HIP-KNEE-HRRP,212,,1.2847,6.8,5.3,19,07/01/2010,06/30/2013
WHEATON FRANCISCAN HEALTHCARE ST FRANCIS,520078,WI,READM-30-HIP-KNEE-HRRP,Not Available,,1.2844,8.0,6.2,,07/01/2010,06/30/2013
UNIVERSITY OF MD CHARLES REGIONAL  MEDICAL CENTER,210035,MD,READM-30-HIP-KNEE-HRRP,190,,1.2843,7.1,5.5,18,07/01/2010,06/30/2013
SAINTS  MEDICAL CENTER INC,220082,MA,READM-30-HIP-KNEE-HRRP,175,,1.2839,7.7,6.0,18,07/01/2010,06/30/2013
TOMBALL REGIONAL MEDICAL CENTER,450670,TX,READM-30-HIP-KNEE-HRRP,174,,1.2836,7.2,5.6,17,07/01/2010,06/30/2013
FANNIN REGIONAL HOSPITAL,110189,GA,READM-30-HIP-KNEE-HRRP,156,,1.2826,5.5,4.3,13,07/01/2010,06/30/2013
BAYLOR REGIONAL MEDICAL CENTER AT PLANO,450890,TX,READM-30-HIP-KNEE-HRRP,168,,1.2806,6.9,5.4,16,07/01/2010,06/30/2013
GEISINGER - COMMUNITY MEDICAL CENTER,390001,PA,READM-30-HIP-KNEE-HRRP,558,,1.2804,7.3,5.7,45,07/01/2010,06/30/2013
LIVINGSTON REGIONAL HOSPITAL,440187,TN,READM-30-PN-HRRP,415,,1.2787,20.8,16.2,101,07/01/2010,06/30/2013
CARNEY HOSPITAL,220017,MA,READM-30-HIP-KNEE-HRRP,Not Available,,1.2782,7.3,5.7,,07/01/2010,06/30/2013
PINEVILLE COMMUNITY HOSPITAL,180021,KY,READM-30-HF-HRRP,250,,1.2779,30.3,23.7,91,07/01/2010,06/30/2013
MUNROE REGIONAL MEDICAL CENTER,100062,FL,READM-30-HIP-KNEE-HRRP,402,,1.2770,7.3,5.8,34,07/01/2010,06/30/2013
PARKER ADVENTIST HOSPITAL,060114,CO,READM-30-HIP-KNEE-HRRP,180,,1.2763,5.9,4.6,15,07/01/2010,06/30/2013
D C H REGIONAL MEDICAL CENTER,010092,AL,READM-30-HIP-KNEE-HRRP,600,,1.2757,6.6,5.2,44,07/01/2010,06/30/2013
UNIV OF MD REHABILITATION &  ORTHOPAEDIC INSTITUTE,210058,MD,READM-30-HIP-KNEE-HRRP,254,,1.2756,6.2,4.8,20,07/01/2010,06/30/2013
ST ROSE HOSPITAL,050002,CA,READM-30-HIP-KNEE-HRRP,Not Available,,1.2748,7.1,5.6,,07/01/2010,06/30/2013
ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER,230195,MI,READM-30-HIP-KNEE-HRRP,503,,1.2747,8.7,6.8,48,07/01/2010,06/30/2013
PRESENCE COVENANT MEDICAL CENTER,140113,IL,READM-30-HIP-KNEE-HRRP,195,,1.2746,7.0,5.5,18,07/01/2010,06/30/2013
HURON VALLEY-SINAI HOSPITAL,230277,MI,READM-30-HIP-KNEE-HRRP,235,,1.2718,7.1,5.6,21,07/01/2010,06/30/2013
MAINE COAST MEMORIAL HOSPITAL,200050,ME,READM-30-HIP-KNEE-HRRP,145,,1.2717,8.0,6.3,16,07/01/2010,06/30/2013
HOLZER MEDICAL CENTER,360054,OH,READM-30-PN-HRRP,458,,1.2701,21.9,17.2,115,07/01/2010,06/30/2013
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-HIP-KNEE-HRRP,813,,1.2692,6.2,4.9,55,07/01/2010,06/30/2013
"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC",360003,OH,READM-30-HIP-KNEE-HRRP,90,,1.2686,7.3,5.8,11,07/01/2010,06/30/2013
SAINT ALPHONSUS MEDICAL CENTER - NAMPA,130013,ID,READM-30-HIP-KNEE-HRRP,161,,1.2672,6.6,5.2,15,07/01/2010,06/30/2013
ST DAVID'S SOUTH AUSTIN MEDICAL CENTER,450713,TX,READM-30-HIP-KNEE-HRRP,242,,1.2672,6.1,4.8,19,07/01/2010,06/30/2013
ST JOSEPH'S REGIONAL MEDICAL CENTER,310019,NJ,READM-30-HIP-KNEE-HRRP,436,,1.2670,7.3,5.7,36,07/01/2010,06/30/2013
ST JOSEPH REGIONAL HEALTH CENTER,450011,TX,READM-30-HIP-KNEE-HRRP,631,,1.2663,6.5,5.1,45,07/01/2010,06/30/2013
MEDSTAR FRANKLIN SQUARE MEDICAL CENTER,210015,MD,READM-30-HIP-KNEE-HRRP,308,,1.2650,6.7,5.3,25,07/01/2010,06/30/2013
HAZARD ARH REGIONAL MEDICAL CENTER,180029,KY,READM-30-COPD-HRRP,1156,,1.2639,31.0,24.6,378,07/01/2010,06/30/2013
CONEY ISLAND HOSPITAL,330196,NY,READM-30-HF-HRRP,539,,1.2634,29.4,23.3,173,07/01/2010,06/30/2013
ST ANTHONYS HOSPITAL,100067,FL,READM-30-HIP-KNEE-HRRP,264,,1.2616,7.1,5.6,23,07/01/2010,06/30/2013
TRIDENT MEDICAL CENTER,420079,SC,READM-30-HIP-KNEE-HRRP,697,,1.2607,6.3,5.0,48,07/01/2010,06/30/2013
MERCY FITZGERALD HOSPITAL,390156,PA,READM-30-HIP-KNEE-HRRP,Not Available,,1.2603,7.7,6.1,,07/01/2010,06/30/2013
SOUTHERN REGIONAL MEDICAL CENTER,110165,GA,READM-30-HIP-KNEE-HRRP,106,,1.2586,6.5,5.2,11,07/01/2010,06/30/2013
"BEAUMONT HOSPITAL, ROYAL OAK",230130,MI,READM-30-HIP-KNEE-HRRP,2581,,1.2577,7.5,5.9,197,07/01/2010,06/30/2013
NEW YORK METHODIST HOSPITAL,330236,NY,READM-30-HIP-KNEE-HRRP,207,,1.2554,9.0,7.2,23,07/01/2010,06/30/2013
RIVER OAKS HOSPITAL,250138,MS,READM-30-HIP-KNEE-HRRP,539,,1.2550,5.7,4.6,35,07/01/2010,06/30/2013
HAZARD ARH REGIONAL MEDICAL CENTER,180029,KY,READM-30-PN-HRRP,439,,1.2549,25.6,20.4,127,07/01/2010,06/30/2013
LAKE WALES MEDICAL CENTER,100099,FL,READM-30-COPD-HRRP,352,,1.2549,23.9,19.0,101,07/01/2010,06/30/2013
LENOX HILL HOSPITAL,330119,NY,READM-30-PN-HRRP,577,,1.2543,21.8,17.4,140,07/01/2010,06/30/2013
SAINT CLARE'S HOSPITAL,310050,NJ,READM-30-AMI-HRRP,246,,1.2538,23.7,18.9,71,07/01/2010,06/30/2013
ORANGE REGIONAL MEDICAL CENTER,330126,NY,READM-30-PN-HRRP,817,,1.2530,23.7,18.9,208,07/01/2010,06/30/2013
PINNACLE HOSPITAL,150166,IN,READM-30-HIP-KNEE-HRRP,Not Available,,1.2522,5.5,4.4,,07/01/2010,06/30/2013
DESERT SPRINGS HOSPITAL,290022,NV,READM-30-HIP-KNEE-HRRP,82,,1.2519,8.2,6.6,11,07/01/2010,06/30/2013
WYOMING MEDICAL CENTER,530012,WY,READM-30-HIP-KNEE-HRRP,283,,1.2516,6.3,5.1,22,07/01/2010,06/30/2013
SUMNER REGIONAL MEDICAL CENTER,440003,TN,READM-30-COPD-HRRP,389,,1.2514,27.1,21.7,123,07/01/2010,06/30/2013
JENNIE STUART MEDICAL CENTER,180051,KY,READM-30-COPD-HRRP,615,,1.2504,24.6,19.7,168,07/01/2010,06/30/2013
ST CHARLES HOSPITAL,330246,NY,READM-30-HIP-KNEE-HRRP,515,,1.2503,7.4,5.9,42,07/01/2010,06/30/2013
PRESENCE ST MARYS HOSPITAL,140155,IL,READM-30-HIP-KNEE-HRRP,184,,1.2500,7.0,5.6,17,07/01/2010,06/30/2013
ALBERT EINSTEIN MEDICAL CENTER,390142,PA,READM-30-HIP-KNEE-HRRP,Not Available,,1.2499,6.7,5.4,,07/01/2010,06/30/2013
CLINCH VALLEY MEDICAL CENTER,490060,VA,READM-30-HF-HRRP,277,,1.2498,30.0,24.0,97,07/01/2010,06/30/2013
UNION HOSPITAL OF CECIL COUNTY,210032,MD,READM-30-HIP-KNEE-HRRP,206,,1.2497,7.3,5.8,19,07/01/2010,06/30/2013
HARLAN ARH HOSPITAL,180050,KY,READM-30-COPD-HRRP,576,,1.2495,26.0,20.8,167,07/01/2010,06/30/2013
METHODIST HOSPITALS INC,150002,IN,READM-30-PN-HRRP,562,,1.2491,24.0,19.2,149,07/01/2010,06/30/2013
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,330286,NY,READM-30-HIP-KNEE-HRRP,132,,1.2489,7.6,6.1,14,07/01/2010,06/30/2013
NORTHSIDE MEDICAL CENTER,360141,OH,READM-30-HIP-KNEE-HRRP,387,,1.2489,7.2,5.8,32,07/01/2010,06/30/2013
WILLIAMSON MEMORIAL HOSPITAL,510077,WV,READM-30-COPD-HRRP,334,,1.2489,25.5,20.4,102,07/01/2010,06/30/2013
METROHEALTH SYSTEM,360059,OH,READM-30-HIP-KNEE-HRRP,130,,1.2487,6.9,5.5,13,07/01/2010,06/30/2013
ST JOHN'S RIVERSIDE HOSPITAL,330208,NY,READM-30-HF-HRRP,664,,1.2486,29.3,23.4,208,07/01/2010,06/30/2013
CHESAPEAKE GENERAL HOSPITAL,490120,VA,READM-30-HIP-KNEE-HRRP,321,,1.2485,6.8,5.5,26,07/01/2010,06/30/2013
NORTHERN NEVADA MEDICAL CENTER,290032,NV,READM-30-HIP-KNEE-HRRP,248,,1.2482,6.1,4.9,19,07/01/2010,06/30/2013
HENRY COUNTY MEDICAL CENTER,440132,TN,READM-30-HIP-KNEE-HRRP,267,,1.2480,6.0,4.8,20,07/01/2010,06/30/2013
LEESBURG REGIONAL MEDICAL CENTER,100084,FL,READM-30-HIP-KNEE-HRRP,961,,1.2479,7.5,6.0,76,07/01/2010,06/30/2013
STONEWALL JACKSON MEMORIAL HOSPITAL,510038,WV,READM-30-PN-HRRP,181,,1.2478,20.8,16.6,51,07/01/2010,06/30/2013
LUTHERAN MEDICAL CENTER,330306,NY,READM-30-HF-HRRP,471,,1.2476,31.0,24.8,160,07/01/2010,06/30/2013
DOCTORS'  COMMUNITY HOSPITAL,210051,MD,READM-30-PN-HRRP,410,,1.2474,21.1,16.9,100,07/01/2010,06/30/2013
FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,050570,CA,READM-30-HIP-KNEE-HRRP,186,,1.2471,7.0,5.6,17,07/01/2010,06/30/2013
MEDSTAR GOOD SAMARITAN HOSPITAL,210056,MD,READM-30-PN-HRRP,352,,1.2469,24.9,20.0,102,07/01/2010,06/30/2013
COORDINATED HEALTH ORTHOPEDIC HOSPITAL,390314,PA,READM-30-HIP-KNEE-HRRP,694,,1.2468,6.6,5.3,50,07/01/2010,06/30/2013
FOREST HILLS HOSPITAL,330353,NY,READM-30-PN-HRRP,698,,1.2464,23.4,18.7,177,07/01/2010,06/30/2013
UPPER VALLEY MEDICAL CENTER,360174,OH,READM-30-COPD-HRRP,588,,1.2460,24.7,19.8,162,07/01/2010,06/30/2013
UPMC ST MARGARET,390102,PA,READM-30-HIP-KNEE-HRRP,364,,1.2449,6.3,5.1,27,07/01/2010,06/30/2013
COLQUITT REGIONAL MEDICAL CENTER,110105,GA,READM-30-HIP-KNEE-HRRP,Not Available,,1.2446,7.3,5.9,,07/01/2010,06/30/2013
